ZipCode,Latitude,Longitude
11385,40.702404,-73.885979
11208,40.669689,-73.871371
11236,40.639413,-73.900664
10467,40.869953,-73.865696
11373,40.73509,-73.877562
11226,40.644962,-73.956304
11207,40.670925,-73.895216
10025,40.798664,-73.967778
11214,40.599523,-73.998594
11234,40.610947,-73.913892
10314,40.591006,-74.150741
11220,40.634873,-74.016905
11219,40.633157,-73.996953
11230,40.62251,-73.966109
11206,40.700453,-73.949255
10456,40.830529,-73.908655
11221,40.69134,-73.927879
10458,40.864728,-73.889855
11233,40.682088,-73.920638
11229,40.600988,-73.939998
11377,40.748372,-73.905445
11235,40.584455,-73.948402
11223,40.597139,-73.973429
10468,40.870978,-73.900505
11204,40.618779,-73.984826
11355,40.750317,-73.813903
10453,40.852728,-73.912455
10452,40.838729,-73.921605
11203,40.649591,-73.934371
10457,40.846129,-73.898255
10462,40.842729,-73.854703
11212,40.663845,-73.916406
10029,40.791884,-73.943517
10002,40.718758,-73.986427
11218,40.64434,-73.978411
11375,40.723041,-73.843688
10466,40.890964,-73.846239
10469,40.869978,-73.844903
11215,40.664322,-73.984132
10463,40.879528,-73.904355
11209,40.622459,-74.028749
11691,40.601475,-73.76191
10977,41.115833,-74.047384
11213,40.67317,-73.936055
11201,40.694481,-73.989319
14850,42.402794,-76.483999
11746,40.814348,-73.363363
11372,40.751146,-73.882508
10472,40.829529,-73.865704
11706,40.742795,-73.265461
11434,40.674583,-73.78156
10701,40.946107,-73.866926
11717,40.780882,-73.250336
11211,40.712597,-73.953098
10023,40.776765,-73.982213
11210,40.625468,-73.945521
10027,40.812242,-73.9532
11432,40.714531,-73.794435
10312,40.545163,-74.174692
10024,40.798452,-73.974414
11216,40.680474,-73.946829
10031,40.823438,-73.949039
10950,41.33065,-74.18681
11435,40.701265,-73.809605
10033,40.851293,-73.934764
11550,40.700201,-73.620872
10032,40.839137,-73.942181
10473,40.816229,-73.860304
10009,40.72775,-73.980396
10460,40.841829,-73.879004
11225,40.661096,-73.952295
11238,40.680593,-73.963928
10128,40.780989,-73.95158
10016,40.745527,-73.978449
10306,40.559668,-74.12241
12550,41.539574,-74.057223
14221,42.968507,-78.749153
10003,40.730223,-73.988564
14580,43.21821,-77.454075
11758,40.66766,-73.47076
12180,42.748588,-73.599536
11354,40.766382,-73.82619
10461,40.845279,-73.843103
10011,40.740916,-73.999769
11420,40.674432,-73.819013
10459,40.825629,-73.893605
10940,41.446544,-74.478741
11205,40.694698,-73.966301
11237,40.702192,-73.91807
14094,43.168463,-78.706886
10451,40.819329,-73.920355
11419,40.686769,-73.822979
11590,40.74505,-73.571521
11224,40.577372,-73.988706
10028,40.776629,-73.953914
11374,40.722861,-73.862069
10952,41.118595,-74.084536
10465,40.826879,-73.825153
11003,40.697558,-73.704946
11772,40.76565,-73.01511
10040,40.858692,-73.930999
11413,40.664542,-73.755926
11365,40.738884,-73.790067
11228,40.616695,-74.013047
11757,40.688799,-73.376475
11520,40.651251,-73.585222
10305,40.596828,-74.077837
10475,40.874878,-73.827653
14075,42.729083,-78.837596
12065,42.850576,-73.792524
14120,43.03867,-78.8642
11357,40.786173,-73.819069
10019,40.765926,-73.985443
10304,40.608389,-74.093684
13760,42.150588,-76.055064
11756,40.7228,-73.515819
11580,40.676052,-73.697828
10034,40.86723,-73.924415
14450,43.104287,-77.428964
10455,40.815029,-73.908355
12601,41.701908,-73.911521
11421,40.691917,-73.85666
11040,40.729351,-73.682824
14215,42.932957,-78.812252
10021,40.768823,-73.960257
11249,40.645099,-73.945032
11743,40.867647,-73.410218
11367,40.730164,-73.821997
11217,40.684948,-73.980613
14150,42.99704,-78.878659
11412,40.695829,-73.761747
12603,41.690707,-73.862074
10583,40.992686,-73.799476
11433,40.696533,-73.786776
13440,43.20886,-75.383365
10801,40.91757,-73.784858
10573,41.022193,-73.679799
11801,40.762304,-73.524452
14224,42.837128,-78.748352
14609,43.177093,-77.554873
11106,40.760601,-73.930984
11704,40.709098,-73.356164
11231,40.676521,-74.003322
13501,43.077369,-75.233208
11378,40.722848,-73.908413
10705,40.919705,-73.889928
11379,40.71649,-73.88125
11222,40.728388,-73.945754
10026,40.802918,-73.953107
10550,40.909838,-73.83389
14701,42.08016,-79.25671
11561,40.589139,-73.642323
11364,40.742772,-73.758831
14624,43.121612,-77.731127
11418,40.698566,-73.83127
10454,40.807129,-73.918405
12866,43.08313,-73.78457
10301,40.623632,-74.093323
11779,40.808322,-73.130469
13601,43.968892,-75.906501
11105,40.776468,-73.908761
11358,40.760426,-73.795788
11554,40.72135,-73.55877
13021,42.894381,-76.565683
10035,40.801913,-73.9347
12590,41.59648,-73.91097
11722,40.78193,-73.196148
11710,40.6729,-73.53652
11103,40.761884,-73.911642
10309,40.531767,-74.218779
13027,43.158531,-76.360147
13126,43.45535,-76.5105
12401,41.96973,-74.06678
14086,42.907658,-78.632137
11787,40.856793,-73.208278
11510,40.654626,-73.608972
14612,43.257111,-77.67824
14225,42.925458,-78.748145
11566,40.668501,-73.553628
11422,40.659418,-73.736866
13502,43.150119,-75.192786
12020,42.983588,-73.882538
10562,41.16287,-73.86152
11101,40.744622,-73.934502
10022,40.758775,-73.967842
11417,40.675056,-73.844315
10010,40.739024,-73.983542
12309,42.809077,-73.869316
11735,40.732747,-73.432789
14621,43.189939,-77.603649
14534,43.060229,-77.520692
12901,44.704021,-73.471148
10704,40.922938,-73.861941
11901,40.922326,-72.637078
10030,40.818474,-73.94329
11050,40.839896,-73.693128
11369,40.762741,-73.869969
11793,40.67815,-73.509519
10065,40.764584,-73.963013
11731,40.856997,-73.314561
11423,40.716888,-73.766897
11414,40.658825,-73.84382
10956,41.149494,-73.98827
12203,42.700345,-73.857496
10036,40.75953,-73.989847
14127,42.742541,-78.704437
10308,40.551191,-74.148893
11803,40.78325,-73.47319
11361,40.764438,-73.773026
14226,42.974389,-78.794905
10014,40.738088,-74.005095
11763,40.82124,-72.98653
11572,40.635252,-73.636923
11370,40.763771,-73.891451
14626,43.190312,-77.720018
12303,42.782276,-73.944818
10013,40.722105,-74.003497
11542,40.86232,-73.63374
11727,40.88124,-73.00588
13090,43.152767,-76.223459
11720,40.87056,-73.08201
10598,41.287329,-73.790284
11725,40.842247,-73.280935
11429,40.710076,-73.740151
14304,43.100305,-78.952112
11530,40.726801,-73.639723
11232,40.656528,-74.007331
11570,40.667352,-73.638523
14424,42.813576,-77.289687
13045,42.614268,-76.120128
11102,40.770808,-73.92516
11701,40.686249,-73.411866
14606,43.173612,-77.691577
12302,42.880035,-73.991321
11967,40.79668,-72.87373
11104,40.742794,-73.918216
12804,43.340954,-73.685911
10303,40.631697,-74.165016
13905,42.173709,-75.922159
12306,42.816438,-74.052713
12010,42.906298,-74.229042
11356,40.784369,-73.843641
10039,40.826736,-73.939398
14616,43.234623,-77.657664
11741,40.78791,-73.066689
11553,40.705868,-73.591421
11416,40.684546,-73.850708
10001,40.750422,-73.996328
11001,40.720051,-73.706783
12553,41.47313,-74.02733
10954,41.097716,-74.010934
10710,40.967946,-73.84736
10541,41.412395,-73.752059
11729,40.762574,-73.323061
12205,42.719799,-73.820666
11552,40.690251,-73.653023
12533,41.58436,-73.80236
11791,40.828288,-73.505922
14623,43.082184,-77.649074
10310,40.632943,-74.118669
11427,40.729293,-73.749811
11795,40.699825,-73.290905
14207,42.949557,-78.897009
14043,42.898958,-78.707872
11010,40.700101,-73.674074
10566,41.29009,-73.92042
11784,40.86995,-73.04735
10901,41.137295,-74.105737
14220,42.845908,-78.823005
11692,40.5923,-73.793273
14216,42.946407,-78.860407
14228,43.044371,-78.777335
10512,41.429571,-73.777626
13069,43.32285,-76.41716
14618,43.112163,-77.561771
14213,42.918057,-78.891108
14620,43.129862,-77.618523
14211,42.912257,-78.819005
10591,41.089703,-73.844034
10075,40.773357,-73.956208
10471,40.899178,-73.898677
10038,40.710223,-74.003368
10703,40.959347,-73.881329
11776,40.92595,-73.06504
11714,40.728449,-73.495369
12047,42.77424,-73.70012
13208,43.074466,-76.145796
10552,40.92446,-73.826115
12078,43.114958,-74.344328
10708,40.938448,-73.829978
11581,40.652253,-73.711775
13850,42.055476,-76.027088
14217,42.971869,-78.876868
11762,40.68038,-73.45512
14617,43.207062,-77.609425
11694,40.57661,-73.84276
14020,42.980544,-78.231764
10012,40.725581,-73.998078
14223,42.974607,-78.850507
11563,40.657602,-73.672574
12208,42.654658,-73.805866
13088,43.112421,-76.189457
11783,40.6677,-73.49233
11726,40.68022,-73.394762
12144,42.64258,-73.7429
11411,40.69455,-73.73847
10543,40.949199,-73.738779
14214,42.940107,-78.835256
14206,42.881012,-78.814555
11501,40.74927,-73.64068
14072,43.015256,-78.958945
10805,40.899599,-73.780976
11436,40.675283,-73.800696
13820,42.461688,-75.096727
11428,40.720639,-73.742099
11768,40.914289,-73.33268
10990,41.25648,-74.35988
14845,42.21003,-76.836629
14227,42.885308,-78.746202
